Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5738188,-7.6446827,icons/supermarket.png
Ain Diab,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5771567,-7.6741813,icons/supermarket.png
راسين,Carrefour Gourmet,Supermarché,Formel,Avenue Ahmed Charci شارع أحمد الشرسي,33.5908121,-7.6462218,icons/supermarket.png
Anfa Supérieur,Carrefour,Supermarché,Formel,Boulevard de la Corniche شارع الكورنيش,33.5981369,-7.6644676,icons/supermarket.png
Maârif Extension,Carrefour Market,Supermarché,Formel,Rue Al Fourate زنقة الفرات,33.5802189,-7.6409084,icons/supermarket.png
Les Hôpitaux,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5730326,-7.6198771,icons/supermarket.png
Sour Jdid,Carrefour Market,Supermarché,Formel,Boulevard Ziraoui شارع الزيراوي,33.597148,-7.6294045,icons/supermarket.png
Assoukhour Assawda,Carrefour des Saveurs,Restaurant,Formel,Carrefour des Saveurs,33.595159,-7.5913872,icons/restaurant.png
Mers Sultan,Carrefour,Supermarché,Formel,Carrefour,33.5844973,-7.6080134,icons/supermarket.png
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5739187,-7.6445744,icons/supermarket.png
Arrondissement de Mers Sultan,Carrefour Market,Supermarché,Formel,Boulevard de la Gironde,33.5841408,-7.599484,icons/supermarket.png
Assoukhour Assawda,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5926838,-7.6011795,icons/supermarket.png
Val Fleuri,Carrefour Market,Supermarché,Formel,Rue Henri Murger,33.5740376,-7.6361871,icons/supermarket.png
Sidi Maârouf,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5382022,-7.6435543,icons/supermarket.png
Sidi Maârouf,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5380366,-7.6432946,icons/supermarket.png
Oulad Azzouz,Carrefour,Supermarché,Formel,Carrefour,33.5173168,-7.7990506,icons/supermarket.png
Oulad Azzouz,Carrefour Dar Bouzza,Supermarché,Formel,Carrefour Dar Bouzza,33.5176502,-7.7999632,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Carrefour,Supermarché,Formel,Carrefour,33.607527,-7.5368732,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Carrefour Market,Supermarché,Formel,Carrefour Market,33.6021269,-7.5265618,icons/supermarket.png
Gauthier,Carrefour Market,Supermarché,Formel,Rue Taha Houcine زنقة طه حسين,33.5897236,-7.6297373,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Carrefour,Supermarché,Formel,Carrefour,33.5987457,-7.5751282,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5379265,-7.680443,icons/supermarket.png
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5737578,-7.6446216,icons/supermarket.png
Arrondissement d'Aïn-Chock,Carrefour Market,Supermarché,Formel,Carrefour Market,33.531131,-7.6226294,icons/supermarket.png
راسين,Carrefour Express,Supérette / Mini-market,Formel,Rue Ahmed El Mokri زنقة أحمد المقري,33.5911972,-7.6388189,icons/convenience.png
Beauséjour,Carrefour Market,Supermarché,Formel,Rue Al Banafsaj زنقة البنفسج,33.5667786,-7.6514343,icons/supermarket.png
Sidi Maârouf,Carrefour,Supermarché,Formel,Carrefour,33.5354196,-7.6419162,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5375122,-7.6636622,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5378775,-7.6630145,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5376046,-7.6637789,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5383281,-7.6624972,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5380952,-7.6632303,icons/supermarket.png
Arrondissement d'Aïn-Chock,Carrefour,Supermarché,Formel,Carrefour,33.5290416,-7.5930685,icons/supermarket.png
Al Fida,Marjane Drissia M6,Supermarché,Formel,Marjane Drissia M6,33.5618694,-7.5946468,icons/supermarket.png
Californie,Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Marjane Aïn Sbaâ,Supermarché,Formel,Marjane Aïn Sbaâ,33.5958294,-7.5301296,icons/supermarket.png
Arrondissement d'Anfa,Marjane,Supermarché,Formel,Marjane,33.5746919,-7.7081046,icons/supermarket.png
Val d'Anfa,Marjane Market,Supermarché,Formel,Boulevard de Bourgogne شارع بوركون,33.594818,-7.6515874,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Marjane,Supermarché,Formel,Marjane,33.595682,-7.531687,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Pharmacie Marjane Ain Sebaa,Supermarché,Formel,Centre Commercial Marjane Ain Sebaa,33.5962524,-7.5321201,icons/supermarket.png
Les Princesses,Marjane Market,Supermarché,Formel,Boulevard Ghandi شارع غاندي,33.5743416,-7.65024,icons/supermarket.png
Arrondissement d'Aïn Sebaâ,Marjane Aïn Sbaâ,Supermarché,Formel,Marjane Aïn Sbaâ,33.5957237,-7.5302589,icons/supermarket.png
Arrondissement d'Al Fida,Marjane Drissia,Supermarché,Formel,Marjane Drissia,33.5627041,-7.5940106,icons/supermarket.png
Arrondissement d'Al Fida,Marjane Drissia,Supermarché,Formel,Marjane Drissia,33.5629532,-7.5939177,icons/supermarket.png
Al Fida,Marjane Drissia M6,Supermarché,Formel,Marjane Drissia M6,33.561581,-7.5948997,icons/supermarket.png
El Oulfa,Marjane Hay Hassani,Supermarché,Formel,Marjane Hay Hassani,33.5657963,-7.6765505,icons/supermarket.png
Ancienne Medina,Marjane,Supermarché,Formel,Boulevard Rahal El Meskini,33.5879069,-7.6125249,icons/supermarket.png
Ancienne Medina,Marjane,Supermarché,Formel,Boulevard Mohamed Smiha,33.59444,-7.6086746,icons/supermarket.png
Arrondissement d'Aïn-Chock,Marjane,Supermarché,Formel,Marjane,33.5130223,-7.6593739,icons/supermarket.png
Arrondissement d'Al Fida,interieur marjane drissia cote autoroute,Supermarché,Formel,interieur marjane drissia cote autoroute,33.5606342,-7.5934651,icons/supermarket.png
Arrondissement d'Al Fida,Bd touria chaoui derriere marjane drissia devant residence fal anour,Supermarché,Formel,Bd touria chaoui derriere marjane drissia devant residence fal anour,33.5619618,-7.5922072,icons/supermarket.png
Arrondissement d'Al Fida,Derriere marjane drissia enface centre العمل الاجتماعي النسوي,Supermarché,Formel,Derriere marjane drissia enface centre العمل الاجتماعي النسوي,33.5627218,-7.5931433,icons/supermarket.png
Arrondissement d'Al Fida,Derriere marjane drissia a cite de porte de chargement,Supermarché,Formel,Derriere marjane drissia a cite de porte de chargement,33.5623217,-7.5927812,icons/supermarket.png
Al Fida,Souk des bois Bd med vi enface electroplanete marjane drissia,Supermarché,Formel,Souk des bois Bd med vi enface electroplanete marjane drissia,33.5610432,-7.5948465,icons/supermarket.png
Arrondissement d'Al Fida,Rue 30 angle rue 28 hay drissia2 cote marjane,Supermarché,Formel,Rue 30 angle rue 28 hay drissia2 cote marjane,33.5629341,-7.5912872,icons/supermarket.png
Arrondissement d'Al Fida,Bd bouchaib doukali angle bd led 6 enface porte principale marjane,Supermarché,Formel,Bd bouchaib doukali angle bd led 6 enface porte principale marjane,33.5626011,-7.5945568,icons/supermarket.png
Bouskoura,Marjane,Supermarché,Formel,Marjane,33.4753036,-7.6069947,icons/supermarket.png
Beauséjour,Marjane Market مرجان ماركت,Supermarché,Formel,Boulevard Sidi Abderrahmane شارع سيدي عبد الرحمان,33.566764,-7.6559254,icons/supermarket.png
Arrondissement de Sidi Othmane,Sidi Othmane - Marjane,Supermarché,Formel,Sidi Othmane - Marjane,33.5608884,-7.5615566,icons/supermarket.png
Arrondissement de Sidi Othmane,Sidi Othmane - Marjane,Supermarché,Formel,Sidi Othmane - Marjane,33.5607332,-7.5614891,icons/supermarket.png
Assoukhour Assawda,Marjane,Supermarché,Formel,Boulevard Ibn Tachfine,33.5859021,-7.5930568,icons/supermarket.png
Préfecture d'arrondissement de Hay Hassani,Marjane,Supermarché,Formel,Marjane,33.5632914,-7.6637711,icons/supermarket.png
Arrondissement d'Aïn-Chock,Marjane Californie,Supermarché,Formel,Marjane Californie,33.544542,-7.6423514,icons/supermarket.png
Arrondissement d'Aïn-Chock,Marjane Californie,Supermarché,Formel,Marjane Californie,33.5446148,-7.6419546,icons/supermarket.png
Maârif Extension,Marjane,Supermarché,Formel,Rue Al Fourate زنقة الفرات,33.58076,-7.6415292,icons/supermarket.png
Palmiers,Marjane,Supermarché,Formel,Marjane,33.5785138,-7.6243943,icons/supermarket.png
Anfa Supérieur,Rue Al Marjane,Supermarché,Formel,Rue Al Marjane,33.597159,-7.6626748,icons/supermarket.png
Arrondissement d'Al Fida,Marjane,Supermarché,Formel,Marjane,33.5616025,-7.5935293,icons/supermarket.png
Arrondissement de Sidi Othmane,Marjane,Supermarché,Formel,Marjane,33.5602836,-7.5614755,icons/supermarket.png
Arrondissement de Sidi Othmane,Marjane Sidi Othmane,Supermarché,Formel,Marjane Sidi Othmane,33.5459358,-7.5495858,icons/supermarket.png
راسين,Résidence Marjane إقامة مرجان,Supermarché,Formel,Rue Ibnou Yaala Al Ifrani زنقة إبن يلعى الإفراني,33.5879624,-7.640294,icons/supermarket.png
El Oulfa,Marjane,Supermarché,Formel,Marjane,33.5662976,-7.6760715,icons/supermarket.png
Assoukhour Assawda,L139 Marjane Aïn Sbaâ - Hôpital Sofi,Supermarché,Formel,L139 Marjane Aïn Sbaâ - Hôpital Sofi,33.5970845,-7.5815519,icons/supermarket.png
Assoukhour Assawda,L139 Hôpital Sofi - Marjane Aïn Sbaâ,Supermarché,Formel,L139 Hôpital Sofi - Marjane Aïn Sbaâ,33.5970534,-7.5816907,icons/supermarket.png
Arrondissement d'Al Fida,McDonald's,Restaurant,Formel,Boulevard Mohamed VI,33.5623474,-7.5941062,icons/restaurant.png
Les Hôpitaux,McDonald's,Restaurant,Formel,Avenue 2 Mars,33.5759477,-7.6153091,icons/restaurant.png
Ancienne Medina,McDonald's,Restaurant,Formel,Avenue Mers Sultan,33.5881192,-7.6175943,icons/restaurant.png
Assoukhour Assawda,McDonald's,Restaurant,Formel,McDonald's,33.5858757,-7.5928149,icons/restaurant.png
Maârif,KFC,Restaurant,Formel,Rue El Kadi Iass زنقة القاضي إياس,33.5861117,-7.6368073,icons/restaurant.png
Ancienne Medina,KFC,Restaurant,Formel,KFC,33.595602,-7.6174129,icons/restaurant.png
Gauthier,KFC,Restaurant,Formel,KFC,33.5928524,-7.6318233,icons/restaurant.png
Les Hôpitaux,KFC,Restaurant,Formel,Avenue 2 Mars,33.5753667,-7.6156108,icons/restaurant.png
Arrondissement d'Anfa,KFC,Restaurant,Formel,KFC,33.5764438,-7.7065764,icons/restaurant.png
Ain Diab,KFC,Restaurant,Formel,KFC,33.5873876,-7.6850644,icons/restaurant.png
